Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1,1526.0,1510.99,1080,Long,Expensive,Spring,84.78
2025-03-31,2025-04-07,MEA,4h 40m,0,1077.0,1061.99,280,Short,Expensive,Spring,230.79
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1,1020.0,1004.99,715,Long,Expensive,Spring,85.59
2025-03-31,2025-04-07,Turkish Airlines,7h 10m,1,1057.0,1041.99,430,Medium,Expensive,Spring,147.49
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1,1082.0,1066.99,715,Long,Expensive,Spring,90.8
2025-03-31,2025-04-07,TAROM,7h 55m,1,1246.0,1230.99,475,Long,Expensive,Spring,157.39
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1,1185.0,1169.99,715,Long,Expensive,Spring,99.44
2025-03-31,2025-04-07,Aegean Airlines,7h 20m,1,1189.0,1173.99,440,Medium,Expensive,Spring,162.14
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1,1470.0,1454.99,1080,Long,Expensive,Spring,81.67
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1,1470.0,1454.99,475,Long,Expensive,Spring,185.68
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1,1611.0,1595.99,715,Long,Expensive,Spring,135.19
2025-03-31,2025-04-07,Pegasus Airlines,10h 30m,1,1617.0,1601.99,630,Long,Expensive,Spring,154.0
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1,1515.0,1499.99,1080,Long,Expensive,Spring,84.17
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1,1515.0,1499.99,475,Long,Expensive,Spring,191.37
2025-03-31,2025-04-07,Egyptair,11h 10m,1,1688.0,1672.99,670,Long,Expensive,Spring,151.16
2025-03-31,2025-04-07,TAROM,7h 55m,1,1688.0,1672.99,475,Long,Expensive,Spring,213.22
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1,1154.0,1138.99,1080,Long,Expensive,Spring,64.11
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1,1138.0,1122.99,455,Medium,Expensive,Spring,150.07
2025-04-07,2025-04-14,MEA,4h 15m,0,580.0,580.0,255,Short,Cheap,Spring,136.47
2025-04-07,2025-04-14,Transavia France,5h 00m,0,571.0,695.0,300,Short,Cheap,Spring,114.2
2025-04-07,2025-04-14,MEA,4h 15m,0,430.0,695.0,255,Short,Cheap,Spring,101.18
2025-04-07,2025-04-14,Transavia France,5h 00m,0,679.0,722.0,300,Short,Affordable,Spring,135.8
2025-04-07,2025-04-14,"Ryanair, Pegasus Airlines",18h 30m,2,679.0,677.0,1110,Long,Affordable,Spring,36.7
2025-04-07,2025-04-14,"Ajet, Transavia France",42h 50m,2,667.0,797.0,2570,Long,Affordable,Spring,15.57
2025-04-07,2025-04-14,MEA,4h 15m,0,706.0,690.99,255,Short,Affordable,Spring,166.12
2025-04-07,2025-04-14,MEA,4h 40m,0,894.0,878.99,280,Short,Affordable,Spring,191.57
2025-04-07,2025-04-14,MEA,4h 15m,0,625.0,609.99,255,Short,Affordable,Spring,147.06
2025-04-07,2025-04-14,MEA,4h 40m,0,833.0,817.99,280,Short,Affordable,Spring,178.5
2025-04-07,2025-04-14,Air France,4h 20m,0,1170.0,1154.99,260,Short,Expensive,Spring,270.0
2025-04-07,2025-04-14,Air France,4h 40m,0,833.0,817.99,280,Short,Affordable,Spring,178.5
2025-04-07,2025-04-14,MEA,4h 15m,0,709.0,693.99,255,Short,Affordable,Spring,166.82
2025-04-07,2025-04-14,MEA,4h 40m,0,858.0,842.99,280,Short,Affordable,Spring,183.86
2025-04-07,2025-04-14,Air France,4h 15m,0,756.0,740.99,255,Short,Affordable,Spring,177.88
2025-04-07,2025-04-14,Air France,4h 40m,0,767.0,751.99,280,Short,Affordable,Spring,164.36
2025-04-07,2025-04-14,MEA,4h 15m,0,723.0,707.99,255,Short,Affordable,Spring,170.12
2025-04-07,2025-04-14,MEA,4h 15m,0,706.0,797.0,255,Short,Affordable,Spring,166.12
2025-04-07,2025-04-14,MEA,4h 40m,0,894.0,797.0,280,Short,Affordable,Spring,191.57
2025-04-07,2025-04-14,MEA,4h 15m,0,625.0,797.0,255,Short,Affordable,Spring,147.06
2025-04-07,2025-04-14,MEA,4h 40m,0,833.0,681.0,280,Short,Affordable,Spring,178.5
2025-04-07,2025-04-14,Air France,4h 20m,0,1170.0,1154.99,260,Short,Expensive,Spring,270.0
2025-04-07,2025-04-14,Air France,4h 40m,0,833.0,823.0,280,Short,Affordable,Spring,178.5
2025-04-07,2025-04-14,MEA,4h 15m,0,709.0,823.0,255,Short,Affordable,Spring,166.82
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1,767.0,751.99,500,Long,Affordable,Spring,92.04
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1,870.0,854.99,430,Medium,Affordable,Spring,121.4
2025-04-07,2025-04-14,MEA,4h 40m,0,767.0,751.99,280,Short,Affordable,Spring,164.36
2025-04-07,2025-04-14,Air France,4h 20m,0,723.0,707.99,260,Short,Affordable,Spring,166.85
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1,656.0,640.99,430,Medium,Affordable,Spring,91.53
2025-04-07,2025-04-14,MEA,4h 40m,0,656.0,640.99,280,Short,Affordable,Spring,140.57
2025-04-07,2025-04-14,Transavia France,5h 00m,0,792.0,776.99,300,Short,Affordable,Spring,158.4
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1,792.0,776.99,430,Medium,Affordable,Spring,110.51
2025-04-07,2025-04-14,MEA,4h 40m,0,791.0,775.99,280,Short,Affordable,Spring,169.5
2025-04-07,2025-04-14,MEA,4h 15m,0,856.0,840.99,255,Short,Affordable,Spring,201.41
2025-04-07,2025-04-14,TAROM,7h 55m,1,856.0,840.99,475,Long,Affordable,Spring,108.13
2025-04-07,2025-04-14,MEA,4h 20m,0,978.0,962.99,260,Short,Expensive,Spring,225.69
2025-04-07,2025-04-14,MEA,4h 40m,0,978.0,962.99,280,Short,Expensive,Spring,209.57
2025-04-07,2025-04-14,MEA,4h 40m,0,858.0,626.0,280,Short,Affordable,Spring,183.86
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1,508.0,492.99,500,Long,Cheap,Spring,60.96
2025-04-07,2025-04-14,MEA,4h 20m,0,641.0,625.99,260,Short,Affordable,Spring,147.92
2025-04-07,2025-04-14,MEA,4h 40m,0,641.0,625.99,280,Short,Affordable,Spring,137.36
2025-04-07,2025-04-14,MEA,4h 15m,0,973.0,957.99,255,Short,Expensive,Spring,228.94
2025-04-07,2025-04-14,Turkish Airlines,7h 25m,1,973.0,957.99,445,Medium,Expensive,Spring,131.19
2025-04-07,2025-04-14,MEA,4h 15m,0,664.0,648.99,255,Short,Affordable,Spring,156.24
2025-04-07,2025-04-14,MEA,4h 40m,0,1002.0,986.99,280,Short,Expensive,Spring,214.71
2025-04-07,2025-04-14,MEA,4h 20m,0,669.0,653.99,260,Short,Affordable,Spring,154.38
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1,881.0,865.99,500,Long,Affordable,Spring,105.72
2025-04-07,2025-04-14,MEA,4h 15m,0,881.0,865.99,255,Short,Affordable,Spring,207.29
2025-04-07,2025-04-14,MEA,4h 40m,0,689.0,673.99,280,Short,Affordable,Spring,147.64
2025-04-07,2025-04-14,MEA,4h 20m,0,625.0,609.99,260,Short,Affordable,Spring,144.23
2025-04-07,2025-04-14,Transavia France,5h 00m,0,1398.0,1382.99,300,Short,Expensive,Spring,279.6
2025-04-07,2025-04-14,Air France,4h 15m,0,756.0,769.0,255,Short,Affordable,Spring,177.88
2025-04-07,2025-04-14,Transavia France,5h 00m,0,723.0,707.99,300,Short,Affordable,Spring,144.6
2025-04-07,2025-04-14,MEA,4h 15m,0,690.0,674.99,255,Short,Affordable,Spring,162.35
2025-04-07,2025-04-14,Turkish Airlines,6h 55m,1,1124.0,1108.99,415,Medium,Expensive,Spring,162.51
2025-04-07,2025-04-14,MEA,4h 20m,0,1124.0,1108.99,260,Short,Expensive,Spring,259.38
2025-04-07,2025-04-14,MEA,4h 40m,0,819.0,803.99,280,Short,Affordable,Spring,175.5
2025-04-07,2025-04-14,MEA,4h 15m,0,819.0,803.99,255,Short,Affordable,Spring,192.71
2025-04-07,2025-04-14,MEA,4h 40m,0,870.0,854.99,280,Short,Affordable,Spring,186.43
2025-04-07,2025-04-14,MEA,4h 15m,0,846.0,830.99,255,Short,Affordable,Spring,199.06
2025-04-07,2025-04-14,Air France,4h 40m,0,1002.0,986.99,280,Short,Expensive,Spring,214.71
2025-04-07,2025-04-14,MEA,4h 15m,0,738.0,722.99,255,Short,Affordable,Spring,173.65
2025-04-07,2025-04-14,TAROM,7h 55m,1,758.0,742.99,475,Long,Affordable,Spring,95.75
2025-04-07,2025-04-14,MEA,4h 20m,0,956.0,940.99,260,Short,Expensive,Spring,220.62
2025-04-07,2025-04-14,TAROM,7h 55m,1,1156.0,1140.99,475,Long,Expensive,Spring,146.02
2025-04-07,2025-04-14,MEA,4h 15m,0,1156.0,1140.99,255,Short,Expensive,Spring,272.0
2025-04-07,2025-04-14,Turkish Airlines,7h 25m,1,997.0,981.99,445,Medium,Expensive,Spring,134.43
2025-04-14,2025-04-21,Transavia France,4h 30m,0,738.0,862.0,270,Short,Affordable,Spring,164.0
2025-04-14,2025-04-21,Pegasus Airlines,13h 35m,1,846.0,830.99,815,Long,Affordable,Spring,62.28
2025-04-14,2025-04-21,Transavia France,4h 30m,0,669.0,653.99,270,Short,Affordable,Spring,148.67
2025-04-14,2025-04-21,MEA,4h 40m,0,1057.0,1041.99,280,Short,Expensive,Spring,226.5
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1256.0,1240.99,270,Short,Expensive,Spring,279.11
2025-04-14,2025-04-21,Ajet,15h 25m,2,1256.0,872.0,925,Long,Expensive,Spring,81.47
2025-04-14,2025-04-21,MEA,4h 15m,0,1195.0,1179.99,255,Short,Expensive,Spring,281.18
2025-04-14,2025-04-21,MEA,4h 40m,0,859.0,843.99,280,Short,Affordable,Spring,184.07
2025-04-14,2025-04-21,MEA,4h 20m,0,1409.0,1393.99,260,Short,Expensive,Spring,325.15
2025-04-14,2025-04-21,MEA,4h 40m,0,1393.0,1377.99,280,Short,Expensive,Spring,298.5
2025-04-14,2025-04-21,MEA,4h 15m,0,1608.0,1592.99,255,Short,Expensive,Spring,378.35
2025-04-14,2025-04-21,MEA,4h 40m,0,1605.0,1589.99,280,Short,Expensive,Spring,343.93
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1611.0,1595.99,270,Short,Expensive,Spring,358.0
2025-04-14,2025-04-21,MEA,4h 40m,0,1568.0,1552.99,280,Short,Expensive,Spring,336.0
2025-04-14,2025-04-21,Pegasus Airlines,7h 10m,1,758.0,742.99,430,Medium,Affordable,Spring,105.77
2025-04-14,2025-04-21,MEA,4h 40m,0,1205.0,1189.99,280,Short,Expensive,Spring,258.21
2025-04-14,2025-04-21,MEA,4h 15m,0,1059.0,1043.99,255,Short,Expensive,Spring,249.18
2025-04-14,2025-04-21,MEA,4h 40m,0,1605.0,1589.99,280,Short,Expensive,Spring,343.93
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1611.0,1595.99,270,Short,Expensive,Spring,358.0
2025-04-14,2025-04-21,MEA,4h 40m,0,1568.0,1552.99,280,Short,Expensive,Spring,336.0
2025-04-14,2025-04-21,Pegasus Airlines,7h 10m,1,758.0,742.99,430,Medium,Affordable,Spring,105.77
2025-04-14,2025-04-21,MEA,4h 40m,0,1205.0,1189.99,280,Short,Expensive,Spring,258.21
2025-04-14,2025-04-21,MEA,4h 15m,0,1059.0,1043.99,255,Short,Expensive,Spring,249.18
2025-04-14,2025-04-21,MEA,4h 40m,0,1608.0,1592.99,280,Short,Expensive,Spring,344.57
2025-04-14,2025-04-21,Air France,4h 20m,0,1099.0,1083.99,260,Short,Expensive,Spring,253.62
2025-04-14,2025-04-21,Air France,4h 40m,0,1078.0,1062.99,280,Short,Expensive,Spring,231.0
2025-04-14,2025-04-21,MEA,4h 15m,0,1568.0,1552.99,255,Short,Expensive,Spring,368.94
2025-04-14,2025-04-21,MEA,4h 40m,0,1041.0,1025.99,280,Short,Expensive,Spring,223.07
2025-04-14,2025-04-21,Air France,4h 15m,0,1064.0,1048.99,255,Short,Expensive,Spring,250.35
2025-04-14,2025-04-21,Air France,4h 40m,0,1231.0,1215.99,280,Short,Expensive,Spring,263.79
2025-04-14,2025-04-21,MEA,4h 20m,0,1299.0,1283.99,260,Short,Expensive,Spring,299.77
2025-04-14,2025-04-21,MEA,4h 40m,0,764.0,748.99,280,Short,Affordable,Spring,163.71
2025-04-14,2025-04-21,Transavia France,4h 30m,0,1782.0,1766.99,270,Short,Expensive,Spring,396.0
2025-04-14,2025-04-21,MEA,4h 40m,0,709.0,693.99,280,Short,Affordable,Spring,151.93
