Departure,Return,Airline,Duration,Transit,Price,Competitor Price
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,$947,$1
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,077",$1
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,020",$1
2025-03-31,2025-04-07,Turkish Airlines,9h 20m,1 stop,"$1,020",N/A
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1 stop,"$1,070",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,138",N/A
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,248",N/A
2025-03-31,2025-04-07,Turkish Airlines,10h 00m,1 stop,"$1,057",N/A
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1 stop,"$1,253",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,342",N/A
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,057",N/A
2025-03-31,2025-04-07,Turkish Airlines,8h 50m,1 stop,"$1,138",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,167",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,388",N/A
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1 stop,"$1,187",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,373",N/A
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,246",N/A
2025-03-31,2025-04-07,Turkish Airlines,10h 45m,1 stop,"$1,397",N/A
2025-03-31,2025-04-07,Turkish Airlines,11h 55m,1 stop,"$1,274",N/A
2025-03-31,2025-04-07,Turkish Airlines,10h 35m,1 stop,"$1,274",N/A
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1 stop,"$1,287",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,187",N/A
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1 stop,"$1,503",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,277",N/A
2025-03-31,2025-04-07,Etihad Airways,18h 40m,1 stop,"$1,277",N/A
2025-03-31,2025-04-07,MEA,4h 40m,nonstop,"$1,521",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,012",N/A
2025-03-31,2025-04-07,Pegasus Airlines,8h 20m,1 stop,"$1,325",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,523",N/A
2025-03-31,2025-04-07,TAROM,7h 55m,1 stop,"$1,330",N/A
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1 stop,"$1,526",N/A
2025-03-31,2025-04-07,Turkish Airlines,7h 10m,1 stop,"$1,057",N/A
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1 stop,"$1,082",N/A
2025-03-31,2025-04-07,TAROM,7h 55m,1 stop,"$1,246",N/A
2025-03-31,2025-04-07,"Iberia, Qatar Airways",11h 55m,1 stop,"$1,185",N/A
2025-03-31,2025-04-07,Aegean Airlines,7h 20m,1 stop,"$1,189",N/A
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1 stop,"$1,470",N/A
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1 stop,"$1,470",N/A
2025-03-31,2025-04-07,Qatar Airways,11h 55m,1 stop,"$1,611",N/A
2025-03-31,2025-04-07,Pegasus Airlines,10h 30m,1 stop,"$1,617",N/A
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1 stop,"$1,515",N/A
2025-03-31,2025-04-07,Turkish Airlines,7h 55m,1 stop,"$1,515",N/A
2025-03-31,2025-04-07,Egyptair,11h 10m,1 stop,"$1,688",N/A
2025-03-31,2025-04-07,TAROM,7h 55m,1 stop,"$1,688",N/A
2025-03-31,2025-04-07,Turkish Airlines,18h 00m,1 stop,"$1,154",N/A
2025-03-31,2025-04-07,Turkish Airlines,7h 35m,1 stop,"$1,138",N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$580,$580
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$571,$695
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$430,$695
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$679,$722
2025-04-07,2025-04-14,"Ryanair, Pegasus Airlines",18h 30m,2 stops,$679,$677
2025-04-07,2025-04-14,"Ajet, Transavia France",42h 50m,2 stops,$667,$797
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$706,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$894,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$625,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$833,N/A
2025-04-07,2025-04-14,Air France,4h 20m,nonstop,"$1,170",N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$833,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$709,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$858,N/A
2025-04-07,2025-04-14,Air France,4h 15m,nonstop,$756,N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$723,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$580,$580
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$571,$695
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$430,$695
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$679,$722
2025-04-07,2025-04-14,"Ryanair, Pegasus Airlines",18h 30m,2 stops,$679,$677
2025-04-07,2025-04-14,"Ajet, Transavia France",42h 50m,2 stops,$667,$797
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$706,$797
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$894,$797
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$625,$797
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$833,$681
2025-04-07,2025-04-14,Air France,4h 20m,nonstop,"$1,170",$681
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$833,$823
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$709,$823
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$858,N/A
2025-04-07,2025-04-14,Air France,4h 15m,nonstop,$756,N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$723,N/A
2025-04-07,2025-04-14,Pegasus Airlines,8h 20m,1 stop,$767,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$870,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,Air France,4h 20m,nonstop,$723,N/A
2025-04-07,2025-04-14,Air France,4h 40m,nonstop,$767,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$656,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$656,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$870,N/A
2025-04-07,2025-04-14,Transavia France,5h 00m,nonstop,$792,N/A
2025-04-07,2025-04-14,Pegasus Airlines,7h 10m,1 stop,$792,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$791,N/A
2025-04-07,2025-04-14,MEA,4h 15m,nonstop,$856,N/A
2025-04-07,2025-04-14,TAROM,7h 55m,1 stop,$856,N/A
2025-04-07,2025-04-14,MEA,4h 20m,nonstop,$978,N/A
2025-04-07,2025-04-14,MEA,4h 40m,nonstop,$978,N/A
