Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour,Origin,Average Temp (°C),Precipitation (mm),Rain
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1404.0,1446.84,1175,Medium,Affordable,Spring,71.69,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,19h 35m,1,1726.0,1768.84,1175,Medium,Expensive,Spring,88.14,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1,1188.0,1230.84,1310,Medium,Affordable,Spring,54.41,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,27h 40m,1,1127.0,1169.84,1660,Long,Affordable,Spring,40.73,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,17h 30m,1,1163.0,1205.84,1050,Short,Affordable,Spring,66.46,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,31h 05m,1,1316.0,1358.84,1865,Long,Affordable,Spring,42.34,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,23h 55m,2,1242.0,1284.84,1435,Medium,Affordable,Spring,51.93,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1092.0,1134.84,1340,Medium,Affordable,Spring,48.9,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1,1413.0,1455.84,1495,Medium,Expensive,Spring,56.71,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1085.0,1127.84,1175,Medium,Affordable,Spring,55.4,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1,1389.0,1431.84,1495,Medium,Affordable,Spring,55.75,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,17h 30m,1,1124.0,1166.84,1050,Short,Affordable,Spring,64.23,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,31h 05m,1,1313.0,1355.84,1865,Long,Affordable,Spring,42.24,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,21h 15m,1,1280.0,1322.84,1275,Medium,Affordable,Spring,60.24,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,18h 00m,1,1231.0,1273.84,1080,Medium,Affordable,Spring,68.39,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,27h 25m,1,1401.0,1443.84,1645,Long,Affordable,Spring,51.1,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1171.0,1213.84,1340,Medium,Affordable,Spring,52.43,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,21h 50m,1,1204.0,1246.84,1310,Medium,Affordable,Spring,55.15,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1,1171.0,1213.84,1495,Medium,Affordable,Spring,47.0,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,26h 40m,1,1329.0,1371.84,1600,Long,Affordable,Spring,49.84,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1,1180.0,1222.84,1245,Medium,Affordable,Spring,56.87,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,30h 10m,1,1475.0,1517.84,1810,Long,Expensive,Spring,48.9,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1404.0,1446.84,1175,Medium,Affordable,Spring,71.69,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1,1413.0,1455.84,1495,Medium,Expensive,Spring,56.71,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1085.0,1127.84,1175,Medium,Affordable,Spring,55.4,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1,1389.0,1431.84,1495,Medium,Affordable,Spring,55.75,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,17h 30m,1,1124.0,1166.84,1050,Short,Affordable,Spring,64.23,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,31h 05m,1,1313.0,1355.84,1865,Long,Affordable,Spring,42.24,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,21h 15m,1,1280.0,1322.84,1275,Medium,Affordable,Spring,60.24,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,18h 00m,1,1231.0,1273.84,1080,Medium,Affordable,Spring,68.39,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,21h 15m,1,1085.0,1127.84,1275,Medium,Affordable,Spring,51.06,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,19h 35m,1,1161.0,1203.84,1175,Medium,Affordable,Spring,59.29,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"Qatar Airways, MEA",27h 25m,1,1127.0,1169.84,1645,Long,Affordable,Spring,41.11,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1161.0,1203.84,1340,Medium,Affordable,Spring,51.99,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,23h 55m,2,1021.0,1063.84,1435,Medium,Affordable,Spring,42.69,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1731.0,1773.84,1340,Medium,Expensive,Spring,77.51,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Air France,34h 05m,1,1058.0,1100.84,2045,Long,Affordable,Spring,31.04,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1,1197.0,1239.84,1245,Medium,Affordable,Spring,57.69,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,24h 15m,1,1304.0,1346.84,1455,Medium,Affordable,Spring,53.77,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"Air Canada, MEA",26h 00m,2,1278.0,1320.84,1560,Medium,Affordable,Spring,49.15,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,"MEA, Air Canada",22h 09m,2,1258.0,1300.84,1329,Medium,Affordable,Spring,56.79,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,27h 25m,1,1544.0,1586.84,1645,Long,Expensive,Spring,56.32,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Qatar Airways,27h 40m,1,1163.0,1205.84,1660,Long,Affordable,Spring,42.04,LA,13.6,0.2,Yes
2025-04-02,2025-04-09,Turkish Airlines,21h 15m,1,1219.0,1261.84,1275,Medium,Affordable,Spring,57.36,LA,13.6,0.2,Yes
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1114.0,1156.84,1310,Medium,Affordable,Spring,51.02,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1089.0,1131.84,1340,Medium,Affordable,Spring,48.76,LA,17.7,0.0,No
2025-04-09,2025-04-16,Emirates,31h 55m,1,1295.0,1337.84,1915,Long,Affordable,Spring,40.57,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1099.0,1141.84,1310,Medium,Affordable,Spring,50.34,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1071.0,1113.84,1340,Medium,Affordable,Spring,47.96,LA,17.7,0.0,No
2025-04-09,2025-04-16,Emirates,31h 55m,1,1280.0,1322.84,1915,Long,Affordable,Spring,40.1,LA,17.7,0.0,No
2025-04-09,2025-04-16,Air France,17h 30m,1,1565.0,1607.84,1050,Short,Expensive,Spring,89.43,LA,17.7,0.0,No
2025-04-09,2025-04-16,Air France,29h 20m,1,1019.0,1061.84,1760,Long,Affordable,Spring,34.74,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1006.0,1048.84,1310,Medium,Affordable,Spring,46.08,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1224.0,1266.84,1340,Medium,Affordable,Spring,54.81,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,26h 10m,2,1177.0,1219.84,1570,Medium,Affordable,Spring,44.98,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1048.0,1090.84,1340,Medium,Affordable,Spring,46.93,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,19h 35m,1,1470.0,1512.84,1175,Medium,Expensive,Spring,75.06,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1245.0,1287.84,1340,Medium,Affordable,Spring,55.75,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1535.0,1577.84,1250,Medium,Expensive,Spring,73.68,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1173.0,1215.84,1435,Medium,Affordable,Spring,49.05,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1497.0,1539.84,1310,Medium,Expensive,Spring,68.56,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,27h 40m,1,1256.0,1298.84,1660,Long,Affordable,Spring,45.4,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1205.0,1247.84,1310,Medium,Affordable,Spring,55.19,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1019.0,1061.84,1340,Medium,Affordable,Spring,45.63,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1173.0,1215.84,1250,Medium,Affordable,Spring,56.3,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1497.0,1539.84,1435,Medium,Expensive,Spring,62.59,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1535.0,1577.84,1310,Medium,Expensive,Spring,70.31,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,27h 40m,1,1129.0,1171.84,1660,Long,Affordable,Spring,40.81,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1177.0,1219.84,1250,Medium,Affordable,Spring,56.5,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,17h 55m,1,1036.0,1078.84,1075,Medium,Affordable,Spring,57.82,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,20h 45m,1,1177.0,1219.84,1245,Medium,Affordable,Spring,56.72,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1335.0,1377.84,1435,Medium,Affordable,Spring,55.82,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1691.0,1733.84,1310,Medium,Expensive,Spring,77.45,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,24h 55m,1,1497.0,1539.84,1495,Medium,Expensive,Spring,60.08,LA,17.7,0.0,No
2025-04-09,2025-04-16,Virgin Atlantic,21h 25m,1,1256.0,1298.84,1285,Medium,Affordable,Spring,58.65,LA,17.7,0.0,No
2025-04-09,2025-04-16,Virgin Atlantic,18h 55m,1,1188.0,1230.84,1135,Medium,Affordable,Spring,62.8,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,20h 45m,1,1580.0,1622.84,1245,Medium,Expensive,Spring,76.14,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,17h 55m,1,1497.0,1539.84,1075,Medium,Expensive,Spring,83.55,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,27h 25m,1,1482.0,1524.84,1645,Long,Expensive,Spring,54.05,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1356.0,1398.84,1340,Medium,Affordable,Spring,60.72,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,27h 00m,1,1302.0,1344.84,1620,Long,Affordable,Spring,48.22,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1645.0,1687.84,1435,Medium,Expensive,Spring,68.78,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,28h 07m,2,1503.0,1545.84,1687,Long,Expensive,Spring,53.46,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1245.0,1287.84,1340,Medium,Affordable,Spring,55.75,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1038.0,1080.84,1250,Medium,Affordable,Spring,49.82,LA,17.7,0.0,No
2025-04-09,2025-04-16,Turkish Airlines,30h 10m,1,1497.0,1539.84,1810,Long,Expensive,Spring,49.62,LA,17.7,0.0,No
2025-04-09,2025-04-16,Qatar Airways,19h 35m,1,1526.0,1568.84,1175,Medium,Expensive,Spring,77.92,LA,17.7,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1032.0,1074.84,1310,Medium,Affordable,Spring,47.27,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,991.0,1033.84,1340,Medium,Affordable,Spring,44.37,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,1076.0,1118.84,2430,Long,Affordable,Spring,26.57,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1066.0,1108.84,1340,Medium,Affordable,Spring,47.73,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1031.0,1073.84,1245,Medium,Affordable,Spring,49.69,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Air France,35h 05m,1,1174.0,1216.84,2105,Long,Affordable,Spring,33.46,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Air France,36h 20m,1,1019.0,1061.84,2180,Long,Affordable,Spring,28.05,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,991.0,1033.84,1310,Medium,Affordable,Spring,45.39,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1074.0,1116.84,1340,Medium,Affordable,Spring,48.09,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,1053.0,1095.84,2430,Long,Affordable,Spring,26.0,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1031.0,1073.84,1340,Medium,Affordable,Spring,46.16,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1101.0,1143.84,1245,Medium,Affordable,Spring,53.06,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1232.0,1274.84,1430,Medium,Affordable,Spring,51.69,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1074.0,1116.84,1310,Medium,Affordable,Spring,49.19,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,27h 40m,1,1074.0,1116.84,1660,Long,Affordable,Spring,38.82,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,26h 40m,1,1613.0,1655.84,1600,Long,Expensive,Spring,60.49,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1276.0,1318.84,1430,Medium,Affordable,Spring,53.54,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,26h 10m,2,1304.0,1346.84,1570,Medium,Affordable,Spring,49.83,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1101.0,1143.84,1340,Medium,Affordable,Spring,49.3,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1691.0,1733.84,1310,Medium,Expensive,Spring,77.45,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,24h 55m,1,1287.0,1329.84,1495,Medium,Affordable,Spring,51.65,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1179.0,1221.84,1245,Medium,Affordable,Spring,56.82,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,1060.0,1102.84,2430,Long,Affordable,Spring,26.17,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,946.0,988.84,1340,Medium,Affordable,Spring,42.36,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,902.0,944.84,1310,Medium,Cheap,Spring,41.31,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1018.0,1060.84,1340,Medium,Affordable,Spring,45.58,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,40h 30m,1,976.0,1018.84,2430,Long,Affordable,Spring,24.1,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,979.0,1021.84,1340,Medium,Affordable,Spring,43.84,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1559.0,1601.84,1245,Medium,Expensive,Spring,75.13,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,948.0,990.84,1430,Medium,Affordable,Spring,39.78,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1253.0,1295.84,1310,Medium,Affordable,Spring,57.39,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,27h 40m,1,955.0,997.84,1660,Long,Affordable,Spring,34.52,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,26h 40m,1,1232.0,1274.84,1600,Long,Affordable,Spring,46.2,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1493.0,1535.84,1430,Medium,Expensive,Spring,62.64,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1521.0,1563.84,1245,Medium,Expensive,Spring,73.3,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,17h 55m,1,1226.0,1268.84,1075,Medium,Affordable,Spring,68.43,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,33h 15m,1,1018.0,1060.84,1995,Long,Affordable,Spring,30.62,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1018.0,1060.84,1340,Medium,Affordable,Spring,45.58,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1018.0,1060.84,1310,Medium,Affordable,Spring,46.63,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,"MEA, Qatar Airways",24h 55m,1,1802.0,1844.84,1495,Medium,Expensive,Spring,72.32,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,32h 45m,1,1006.0,1048.84,1965,Long,Affordable,Spring,30.72,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,979.0,1021.84,1430,Medium,Affordable,Spring,41.08,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,21h 50m,1,1101.0,1143.84,1310,Medium,Affordable,Spring,50.43,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,24h 55m,1,979.0,1021.84,1495,Medium,Affordable,Spring,39.29,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,20h 45m,1,1424.0,1466.84,1245,Medium,Expensive,Spring,68.63,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,19h 35m,1,1290.0,1332.84,1175,Medium,Affordable,Spring,65.87,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,19h 35m,1,1202.0,1244.84,1175,Medium,Affordable,Spring,61.38,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Qatar Airways,22h 20m,1,1348.0,1390.84,1340,Medium,Affordable,Spring,60.36,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,22h 45m,1,1108.0,1150.84,1365,Medium,Affordable,Spring,48.7,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1018.0,1060.84,1430,Medium,Affordable,Spring,42.71,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Emirates,31h 55m,1,1006.0,1048.84,1915,Long,Affordable,Spring,31.52,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Emirates,25h 35m,1,1693.0,1735.84,1535,Medium,Expensive,Spring,66.18,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,27h 00m,1,1254.0,1296.84,1620,Long,Affordable,Spring,46.44,LA,17.999999999999996,0.0,No
2025-04-16,2025-04-23,Turkish Airlines,23h 50m,1,1455.0,1497.84,1430,Medium,Expensive,Spring,61.05,LA,17.999999999999996,0.0,No
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,978.0,1020.84,1310,Medium,Affordable,Spring,44.79,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Qatar Airways,22h 20m,1,1076.0,1118.84,1340,Medium,Affordable,Spring,48.18,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Turkish Airlines,20h 40m,1,978.0,1020.84,1240,Medium,Affordable,Spring,47.32,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1197.0,1239.84,1415,Medium,Affordable,Spring,50.76,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,1076.0,1118.84,1310,Medium,Affordable,Spring,49.28,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Qatar Airways,27h 40m,1,1195.0,1237.84,1660,Long,Affordable,Spring,43.19,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Qatar Airways,21h 50m,1,1095.0,1137.84,1310,Medium,Affordable,Spring,50.15,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,"MEA, Norse Atlantic Airways",21h 10m,1,1076.0,1118.84,1270,Medium,Affordable,Spring,50.83,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Turkish Airlines,20h 55m,1,1195.0,1237.84,1255,Medium,Affordable,Spring,57.13,LA,15.995833333333332,0.0,No
2025-04-23,2025-04-30,Turkish Airlines,23h 35m,1,1045.0,1087.84,1415,Medium,Affordable,Spring,44.31,LA,15.995833333333332,0.0,No
