Departure,Return,Airline,Duration,Transit,Price,Competitor Price,Duration in Minutes,Flight Type,Price Type,Season,Price per Hour
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1,1180.0,1222.84,1245,Medium,Affordable,Spring,56.87
2025-04-02,2025-04-09,Turkish Airlines,30h 10m,1,1475.0,1517.84,1810,Long,Expensive,Spring,48.9
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1404.0,1446.84,1175,Medium,Affordable,Spring,71.69
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1,1413.0,1455.84,1495,Medium,Expensive,Spring,56.71
2025-04-02,2025-04-09,Qatar Airways,19h 35m,1,1085.0,1127.84,1175,Medium,Affordable,Spring,55.4
2025-04-02,2025-04-09,"MEA, Qatar Airways",24h 55m,1,1389.0,1431.84,1495,Medium,Affordable,Spring,55.75
2025-04-02,2025-04-09,Air France,17h 30m,1,1124.0,1166.84,1050,Short,Affordable,Spring,64.23
2025-04-02,2025-04-09,Air France,31h 05m,1,1313.0,1355.84,1865,Long,Affordable,Spring,42.24
2025-04-02,2025-04-09,Turkish Airlines,21h 15m,1,1280.0,1322.84,1275,Medium,Affordable,Spring,60.24
2025-04-02,2025-04-09,Turkish Airlines,18h 00m,1,1231.0,1273.84,1080,Medium,Affordable,Spring,68.39
2025-04-02,2025-04-09,Turkish Airlines,21h 15m,1,1085.0,1127.84,1275,Medium,Affordable,Spring,51.06
2025-04-02,2025-04-09,Turkish Airlines,19h 35m,1,1161.0,1203.84,1175,Medium,Affordable,Spring,59.29
2025-04-02,2025-04-09,"Qatar Airways, MEA",27h 25m,1,1127.0,1169.84,1645,Long,Affordable,Spring,41.11
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1161.0,1203.84,1340,Medium,Affordable,Spring,51.99
2025-04-02,2025-04-09,Qatar Airways,23h 55m,2,1021.0,1063.84,1435,Medium,Affordable,Spring,42.69
2025-04-02,2025-04-09,Qatar Airways,22h 20m,1,1731.0,1773.84,1340,Medium,Expensive,Spring,77.51
2025-04-02,2025-04-09,Air France,34h 05m,1,1058.0,1100.84,2045,Long,Affordable,Spring,31.04
2025-04-02,2025-04-09,Turkish Airlines,20h 45m,1,1197.0,1239.84,1245,Medium,Affordable,Spring,57.69
2025-04-02,2025-04-09,Turkish Airlines,24h 15m,1,1304.0,1346.84,1455,Medium,Affordable,Spring,53.77
2025-04-02,2025-04-09,"Air Canada, MEA",26h 00m,2,1278.0,1320.84,1560,Medium,Affordable,Spring,49.15
2025-04-02,2025-04-09,"MEA, Air Canada",22h 09m,2,1258.0,1300.84,1329,Medium,Affordable,Spring,56.79
2025-04-02,2025-04-09,Qatar Airways,27h 25m,1,1544.0,1586.84,1645,Long,Expensive,Spring,56.32
2025-04-02,2025-04-09,Qatar Airways,27h 40m,1,1163.0,1205.84,1660,Long,Affordable,Spring,42.04
2025-04-02,2025-04-09,Turkish Airlines,21h 15m,1,1219.0,1261.84,1275,Medium,Affordable,Spring,57.36
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1114.0,1156.84,1310,Medium,Affordable,Spring,51.02
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1089.0,1131.84,1340,Medium,Affordable,Spring,48.76
2025-04-09,2025-04-16,Emirates,31h 55m,1,1295.0,1337.84,1915,Long,Affordable,Spring,40.57
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1099.0,1141.84,1310,Medium,Affordable,Spring,50.34
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1071.0,1113.84,1340,Medium,Affordable,Spring,47.96
2025-04-09,2025-04-16,Emirates,31h 55m,1,1280.0,1322.84,1915,Long,Affordable,Spring,40.1
2025-04-09,2025-04-16,Air France,17h 30m,1,1565.0,1607.84,1050,Short,Expensive,Spring,89.43
2025-04-09,2025-04-16,Air France,29h 20m,1,1019.0,1061.84,1760,Long,Affordable,Spring,34.74
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1006.0,1048.84,1310,Medium,Affordable,Spring,46.08
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1224.0,1266.84,1340,Medium,Affordable,Spring,54.81
2025-04-09,2025-04-16,Qatar Airways,26h 10m,2,1177.0,1219.84,1570,Medium,Affordable,Spring,44.98
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1048.0,1090.84,1340,Medium,Affordable,Spring,46.93
2025-04-09,2025-04-16,Qatar Airways,19h 35m,1,1470.0,1512.84,1175,Medium,Expensive,Spring,75.06
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1245.0,1287.84,1340,Medium,Affordable,Spring,55.75
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1535.0,1577.84,1250,Medium,Expensive,Spring,73.68
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1173.0,1215.84,1435,Medium,Affordable,Spring,49.05
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1497.0,1539.84,1310,Medium,Expensive,Spring,68.56
2025-04-09,2025-04-16,Qatar Airways,27h 40m,1,1256.0,1298.84,1660,Long,Affordable,Spring,45.4
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1205.0,1247.84,1310,Medium,Affordable,Spring,55.19
2025-04-09,2025-04-16,Qatar Airways,22h 20m,1,1019.0,1061.84,1340,Medium,Affordable,Spring,45.63
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1173.0,1215.84,1250,Medium,Affordable,Spring,56.3
2025-04-09,2025-04-16,Turkish Airlines,23h 55m,1,1497.0,1539.84,1435,Medium,Expensive,Spring,62.59
2025-04-09,2025-04-16,Qatar Airways,21h 50m,1,1535.0,1577.84,1310,Medium,Expensive,Spring,70.31
2025-04-09,2025-04-16,Qatar Airways,27h 40m,1,1129.0,1171.84,1660,Long,Affordable,Spring,40.81
2025-04-09,2025-04-16,Turkish Airlines,20h 50m,1,1177.0,1219.84,1250,Medium,Affordable,Spring,56.5
2025-04-09,2025-04-16,Turkish Airlines,17h 55m,1,1036.0,1078.84,1075,Medium,Affordable,Spring,57.82
2025-04-09,2025-04-16,Turkish Airlines,20h 45m,1,1177.0,1219.84,1245,Medium,Affordable,Spring,56.72
