Location,Date,Average Temp (°C),Precipitation (mm),Rain
Beirut,2025-04-29,20.3,1.3,Yes
Paris,2025-04-29,11.5,3.5,Yes
Riyadh,2025-04-29,29.5,2.5,Yes
Cairo,2025-04-29,25.0,0.0,No
LA,2025-04-29,18.9,0.0,No
Istanbul,2025-04-29,14.7,0.6,Yes
Beirut,2025-04-30,20.2,0.8,Yes
Paris,2025-04-30,11.2,4.9,Yes
Riyadh,2025-04-30,29.3,3.0,Yes
Cairo,2025-04-30,24.9,0.1,Yes
LA,2025-04-30,18.8,0.0,No
Istanbul,2025-04-30,14.8,0.1,Yes
Beirut,2025-05-01,20.5,0.4,Yes
Paris,2025-05-01,11.8,2.8,Yes
Riyadh,2025-05-01,29.7,1.0,Yes
Cairo,2025-05-01,25.3,0.0,No
LA,2025-05-01,18.6,0.1,Yes
Istanbul,2025-05-01,15.3,0.7,Yes
Beirut,2025-05-02,20.3,0.3,Yes
Paris,2025-05-02,11.6,1.9,Yes
Riyadh,2025-05-02,29.9,0.1,Yes
Cairo,2025-05-02,25.4,0.0,No
LA,2025-05-02,18.8,0.0,No
Istanbul,2025-05-02,15.6,1.1,Yes
Beirut,2025-05-03,21.0,0.2,Yes
Paris,2025-05-03,11.6,1.3,Yes
Riyadh,2025-05-03,30.0,0.6,Yes
Cairo,2025-05-03,26.3,0.0,No
LA,2025-05-03,19.3,0.0,No
Istanbul,2025-05-03,15.9,1.1,Yes
Beirut,2025-05-04,21.5,0.2,Yes
Paris,2025-05-04,12.1,2.2,Yes
Riyadh,2025-05-04,30.2,0.3,Yes
Cairo,2025-05-04,26.7,0.0,No
LA,2025-05-04,19.1,0.6,Yes
Istanbul,2025-05-04,15.3,4.5,Yes
Beirut,2025-05-05,21.0,1.8,Yes
Paris,2025-05-05,12.6,1.8,Yes
Riyadh,2025-05-05,30.6,0.1,Yes
Cairo,2025-05-05,25.8,0.0,No
LA,2025-05-05,18.6,0.2,Yes
Istanbul,2025-05-05,15.4,1.3,Yes
Beirut,2025-05-06,20.4,1.1,Yes
Paris,2025-05-06,13.3,2.3,Yes
Riyadh,2025-05-06,31.1,0.2,Yes
Cairo,2025-05-06,24.6,0.0,No
LA,2025-05-06,18.1,0.7,Yes
Istanbul,2025-05-06,15.5,1.5,Yes
Beirut,2025-05-07,20.0,1.0,Yes
Paris,2025-05-07,14.0,1.5,Yes
Riyadh,2025-05-07,31.5,0.2,Yes
Cairo,2025-05-07,24.3,0.0,No
LA,2025-05-07,17.8,0.5,Yes
Istanbul,2025-05-07,15.8,1.6,Yes
Beirut,2025-05-08,20.0,4.2,Yes
Paris,2025-05-08,14.5,1.8,Yes
Riyadh,2025-05-08,31.9,0.0,No
Cairo,2025-05-08,25.1,0.1,Yes
LA,2025-05-08,17.9,0.4,Yes
Istanbul,2025-05-08,15.7,2.4,Yes
